Päätösnumero;Päätöspäivä;Nimi;Diaarinumero;Piirustusnumerot;Linkki
2023-52;28.4.2023;Pysäköintijärjestelyt Helsinginkatu 56 edustalla;HEL 2023-003341;7410;https://paatokset.hel.fi/fi/asia/hel-2023-003341
2023-58;26.5.2023;Raide-Jokeriin liittyvien katuosuuksien liikenteen ohjaussuunnitelma;HEL 2023-006862;7454;https://paatokset.hel.fi/fi/asia/hel-2023-006862
2023-59;26.5.2023;Mäkelänkadun liikenteen ohjaussuunnitelma Radanrakentajantien risteyksessä;HEL 2023-006769;7251;https://paatokset.hel.fi/fi/asia/hel-2023-006769
2023-60;26.5.2023;Radanrakentajantien liikenteen ohjaussuunnitelma;HEL 2023-006770;7448;https://paatokset.hel.fi/fi/asia/hel-2023-006770
2023-61;26.5.2023;Ratamestarinkadun keskiosan liikenteen ohjaussuunnitelma;HEL 2023-006780;7449;https://paatokset.hel.fi/fi/asia/hel-2023-006780
2023-62;26.5.2023;Asemapäällikönkadun länsiosan liikenteen ohjaussuunnitelma;HEL 2023-006777;7450;https://paatokset.hel.fi/fi/asia/hel-2023-006777
2023-63;26.5.2023;Pasilankadun eteläosan liikenteen ohjaussuunnitelma;HEL 2023-006776;7451;https://paatokset.hel.fi/fi/asia/hel-2023-006776
2023-64;26.5.2023;Tursontien tilapäiset liikennejärjestelyt Kimmonpuiston kohdalla;HEL 2023-006783;7447;https://paatokset.hel.fi/fi/asia/hel-2023-006783
2023-65;26.5.2023;Pasilanraition pohjoisosan liikenteen ohjaussuunnitelma;HEL 2023-006871;7453;https://paatokset.hel.fi/fi/asia/hel-2023-006871
2023-66;26.5.2023;Tilapäinen nopeusrajoituksen alentaminen ja lapsista varoittaminen Mäkelänkatu 84 kohdalla;HEL 2023-006760;7442;https://paatokset.hel.fi/fi/asia/hel-2023-006760
2023-67;26.5.2023;Pysäköintijärjestelyt Pertunpellonraitin ja Siltalanpuistonpolun risteyksessä;HEL 2023-006757;7413;https://paatokset.hel.fi/fi/asia/hel-2023-006757
2023-68;26.5.2023;Kaisantunnelin liikenteen ohjaussuunnitelma;HEL 2023-005562;7438;https://paatokset.hel.fi/fi/asia/hel-2023-005562
2023-69;26.5.2023;Pysäköintipaikkojen merkitseminen metron huoltoajoneuvoille Koivusaaren metroaseman edustalla;HEL 2023-004588;7429;https://paatokset.hel.fi/fi/asia/hel-2023-004588
2023-70;26.5.2023;Pysäköintijärjestelyt Gyldenintie 3 edustalla;HEL 2023-005101;Gyldenintie 3;https://paatokset.hel.fi/fi/asia/hel-2023-005101
2023-71;26.5.2023;Paturintien liikenteen ohjaussuunnitelma;HEL 2023-005553;7379;https://paatokset.hel.fi/fi/asia/hel-2023-005553
2023-72;26.5.2023;Hermannin pohjoisosan liikenteen ohjaussuunnitelma;HEL 2023-006318;7330;https://paatokset.hel.fi/fi/asia/hel-2023-006318
2023-73;26.5.2023;Hermannin rantatien liikenteen ohjaussuunnitelma välillä Hämeentien silta Haukilahdenkatu;HEL 2023-005695;7439;https://paatokset.hel.fi/fi/asia/hel-2023-005695
2023-74;26.5.2023;Vallilanraition liikenteen ohjaussuunnitelma välillä Poikkikulku Jyrängöntie;HEL 2023-005693;7440;https://paatokset.hel.fi/fi/asia/hel-2023-005693
2023-75;26.5.2023;Vallilanraition liikenteen ohjaussuunnitelma välillä Mäkelänkatu Poikkikulku;HEL 2023-005692;7441;https://paatokset.hel.fi/fi/asia/hel-2023-005692
2023-76;26.5.2023;Jakomäen keski- ja itäosan liikenteen ohjaussuunnitelma;HEL 2023-006474;6960;https://paatokset.hel.fi/fi/asia/hel-2023-006474
2023-77;2.6.2023;Meilahden sairaalan päivystyksen opastus;HEL 2023-007374;7457;https://paatokset.hel.fi/fi/asia/hel-2023-007374
2023-78;2.6.2023;Kuorma-autojen pysäköinnin kieltäminen Teinintien ympäristössä Norrtäljentien itäpuolella;HEL 2023-005992;7456;https://paatokset.hel.fi/fi/asia/hel-2023-005992
2023-79;2.6.2023;Elontien, Halkosuonkujan, Halkosuontien, Ripusuontien ja Rohkatien liikenteen ohjaussuunnitelma;HEL 2023-006571;7398;https://paatokset.hel.fi/fi/asia/hel-2023-006571
2023-80;9.6.2023;Sänkikujan kääntöpaikan pysäköintikielto;HEL 2023-006835;Sänkikuja;https://paatokset.hel.fi/fi/asia/hel-2023-006835
2023-81;9.6.2023;Pysäköinnin kieltäminen Rakuunantie 6 vastapäätä;HEL 2023-006834;Rakuunantie 1;https://paatokset.hel.fi/fi/asia/hel-2023-006834
2023-82;9.6.2023;Pysäköinnin kieltäminen Porintie 1 edustalla;HEL 2023-006836;Porintie 1;https://paatokset.hel.fi/fi/asia/hel-2023-006836
2023-83;9.6.2023;Lapinlahdentien pysäköintijärjestelyt;HEL 2023-003591;7427;https://paatokset.hel.fi/fi/asia/hel-2023-003591
2023-84;9.6.2023;Lääkärinkadun liikenteen ohjaussuunnitelma;HEL 2023-004632;7411;https://paatokset.hel.fi/fi/asia/hel-2023-004632
2023-85;16.6.2023;Hanasaarenrannan liityntäpysäköintialueen pysäköintijärjestelyt;HEL 2023-007026;7455;https://paatokset.hel.fi/fi/asia/hel-2023-007026
2023-86;16.6.2023;Pyöräliikenteen opastusjärjestelyt Tilkanniityn kaakkoisosassa;HEL 2023-006290;7444;https://paatokset.hel.fi/fi/asia/hel-2023-006290
2023-87;16.6.2023;Zaidankadun eteläosan liikenteen ohjaussuunnitelma;HEL 2023-006288;7417;https://paatokset.hel.fi/fi/asia/hel-2023-006288
2023-88;16.6.2023;Ilmalankujan liikennejärjestelyt Ilmalantorin eteläpuolella;HEL 2023-006801;7452;https://paatokset.hel.fi/fi/asia/hel-2023-006801
2023-89;22.6.2023;Mikroliikkumisen palveluiden pysäköintijärjestelyiden muutokset kantakaupungissa;HEL 2023-008319;7470;https://paatokset.hel.fi/fi/asia/hel-2023-008319
2023-90;22.6.2023;Pysäköinnin kieltäminen Salakkakujalla;HEL 2023-007111;Salakkakuja;https://paatokset.hel.fi/fi/asia/hel-2023-007111
2023-91;22.6.2023;Tyynenmerenkadun liikenteen ohjaussuunnitelma välillä Atlantinkatu–Länsiterminaali 1;HEL 2023-007902;7460;https://paatokset.hel.fi/fi/asia/hel-2023-007902
2023-92;22.6.2023;Hietalahdenrannan, Telakkakadun ja Eiranrannan liikenteen ohjaussuunnitelma;HEL 2023-007907;7462;https://paatokset.hel.fi/fi/asia/hel-2023-007907
2023-93;22.6.2023;Atlantinkadun liikenteen ohjaussuunnitelma;HEL 2023-007906;7461;https://paatokset.hel.fi/fi/asia/hel-2023-007906
2023-94;22.6.2023;Valtioneuvoston virka-autojen pysäköintipaikat Fabianinkadulla ja Eteläesplanadilla;HEL 2023-008009;7464;https://paatokset.hel.fi/fi/asia/hel-2023-008009
2023-95;22.6.2023;Mariankadun liikenteenohjaussuunnitelma välillä Liisankatu, Maneesikatu;HEL 2023-008296;7471;https://paatokset.hel.fi/fi/asia/hel-2023-008296
2023-96;22.6.2023;Lapsista varoittaminen Kuninkaantammenkierrolla;HEL 2023-008281;Kuninkaantammenkierto;https://paatokset.hel.fi/fi/asia/hel-2023-008281
2023-97;22.6.2023;Pihlajatien ja Honkatien risteyksen liikenteen ohjaussuunnitelma;HEL 2023-008217;7468;https://paatokset.hel.fi/fi/asia/hel-2023-008217
2023-98;22.6.2023;Juustenintien liikenteen ohjaussuunnitelma;HEL 2023-007828;7443;https://paatokset.hel.fi/fi/asia/hel-2023-007828
2023-100;25.8.2023;Liikennejärjestelyt, Vellamonkatu ja Saarenkatu, Hermanni;HEL 2023-005382;7459;https://paatokset.hel.fi/fi/asia/hel-2023-005382
2023-101;25.8.2023;Larin Kyöstin tien alueen katujen liikenteen ohjaussuunnitelma;HEL 2023-009988;7481;https://paatokset.hel.fi/fi/asia/hel-2023-009988
2023-102;1.9.2023;Pysäköintijärjestelyt Porslahdentie 2 yksityisellä pysäköintialueella;HEL 2023-010328;Porslahdentie 2;https://paatokset.hel.fi/fi/asia/hel-2023-010328
2023-103;1.9.2023;Mikroliikkumisen palveluiden pysäköintijärjestelyiden sijaintien tarkistaminen kantakaupungissa;HEL 2023-010755;7487;https://paatokset.hel.fi/fi/asia/hel-2023-010755
2023-104;8.9.2023;Pyörätelineiden sijoittaminen Kokkosaarenpolun varrelle;HEL 2023-008566;7488;https://paatokset.hel.fi/fi/asia/hel-2023-008566
2023-105;8.9.2023;Pysäköintijärjestelyt Rälssintiellä;HEL 2023-009547;7478;https://paatokset.hel.fi/fi/asia/hel-2023-009547
2023-106;8.9.2023;Myrttitien ja Ukkostien pysäköintijärjestelyt;HEL 2023-009515;7476;https://paatokset.hel.fi/fi/asia/hel-2023-009515
2023-107;8.9.2023;Markkinatien, Anianpellontien, Kunnantien, Örskinpolun ja Örskintien pohjoisosan pysäköintijärjestelyt;HEL 2023-009543;7477;https://paatokset.hel.fi/fi/asia/hel-2023-009543
2023-108;8.9.2023;Pysäköintijärjestelyt Kuismatiellä;HEL 2023-009546;Kuismatie;https://paatokset.hel.fi/fi/asia/hel-2023-009546
2023-109;8.9.2023;Pysäköintijärjestelyt Kellaritiellä;HEL 2023-009545;Kellaritie;https://paatokset.hel.fi/fi/asia/hel-2023-009545
2023-110;8.9.2023;Krämertintien liikenteen ohjaussuunnitelma välillä Krämertintie 13-21;HEL 2023-008270;7320;https://paatokset.hel.fi/fi/asia/hel-2023-008270
2023-111;8.9.2023;Hernesaaren liikenteen ohjaussuunnitelma;HEL 2023-003590;7428;https://paatokset.hel.fi/fi/asia/hel-2023-003590
2023-112;8.9.2023;Kaivopuiston ja Tehtaankadun itäpäädyn liikenteen ohjaussuunnitelma;HEL 2023-004629;7412;https://paatokset.hel.fi/fi/asia/hel-2023-004629
2023-115;22.9.2023;Sähköautojen latauspisteiden sijoittaminen taksiasemille Kapteeninkadulla, Käpyläntiellä ja Museokadulla;HEL 2023-011555;7512;https://paatokset.hel.fi/fi/asia/hel-2023-011555
2023-117;3.10.2023;Pysäköintijärjestelyt Tuulimyllyntiellä, Myllymatkantiellä ja Neulapadontiellä;HEL 2023-010185;7484;https://paatokset.hel.fi/fi/asia/hel-2023-010185
2023-118;3.10.2023;Osuuskunnantien pysäköintijärjestelyt;HEL 2023-011214;7497;https://paatokset.hel.fi/fi/asia/hel-2023-011214
2023-119;3.10.2023;Solakalliontien ja Kansantien pysäköintijärjestelyt;HEL 2023-011215;7498;https://paatokset.hel.fi/fi/asia/hel-2023-011215
2023-120;3.10.2023;Kisällintien pysäköintijärjestelyt;HEL 2023-011248;7499;https://paatokset.hel.fi/fi/asia/hel-2023-011248
2023-121;3.10.2023;Harjantekijäntien pysäköintijärjestelyt;HEL 2023-011217;7500;https://paatokset.hel.fi/fi/asia/hel-2023-011217
2023-122;3.10.2023;Pikkukoskentien ja Aidasmäentien pysäköintijärjestelyt;HEL 2023-011226;7502;https://paatokset.hel.fi/fi/asia/hel-2023-011226
2023-123;3.10.2023;Porvarintien pysäköintijärjestelyt;HEL 2023-011230;7503;https://paatokset.hel.fi/fi/asia/hel-2023-011230
2023-124;3.10.2023;Kirvestien pysäköintijärjestelyt;HEL 2023-011228;7504;https://paatokset.hel.fi/fi/asia/hel-2023-011228
2023-125;6.10.2023;Kulosaaren liityntäpysäköintialueiden liikenteen ohjaussuunnitelma;HEL 2023-011251;7506;https://paatokset.hel.fi/fi/asia/hel-2023-011251
2023-126;6.10.2023;Solnantie 35 kuormauspaikan liikennejärjestely;HEL 2023-011438;7511;https://paatokset.hel.fi/fi/asia/hel-2023-011438
2023-127;6.10.2023;Kirvesmiehenkadun, Puusepänkadun ja Sorvaajankadun liikenteen ohjaussuunnitelma;HEL 2023-011369;7508;https://paatokset.hel.fi/fi/asia/hel-2023-011369
2023-128;13.10.2023;Sähköautojen latauspisteiden tarkistaminen Vellamonkadulla ja Merikadulla;HEL 2023-012616;7519;https://paatokset.hel.fi/fi/asia/hel-2023-012616
2023-129;13.10.2023;Oltermannintien, Kivalterintien ja Pikalähetintien pysäköintijärjestelyt;HEL 2023-011225;7501;https://paatokset.hel.fi/fi/asia/hel-2023-011225
2023-130;13.10.2023;Kirvestien, Puunkaatajantien ja Korpitien pysäköintijärjestelyt;HEL 2023-012608;7521;https://paatokset.hel.fi/fi/asia/hel-2023-012608
2023-131;13.10.2023;Honkasuon liikenteen ohjaussuunnitelma;HEL 2023-012527;7496;https://paatokset.hel.fi/fi/asia/hel-2023-012527
2023-132;13.10.2023;Lavettipolun ajoestejärjestelyt;HEL 2023-001413;7474;https://paatokset.hel.fi/fi/asia/hel-2023-001413
2023-133;13.10.2023;Välimerenkadun, Messipojankujan, Välimerenkadun ja Jätkäsaarenkallion liikenteen ohjaussuunnitelma;HEL 2023-012526;7514;https://paatokset.hel.fi/fi/asia/hel-2023-012526
2023-136;3.11.2023;Pysäköintijärjestelyt Taivaankannella;HEL 2023-010090;7515;https://paatokset.hel.fi/fi/asia/hel-2023-010090
2023-137;3.11.2023;Pysäköinnin kieltäminen Loisteputkella ja Lampputie 14 edustalla;HEL 2023-010091;Lampputie 14 ja Loisteputki;https://paatokset.hel.fi/fi/asia/hel-2023-010091
2023-138;3.11.2023;Pirjonaukion liikenteen ohjaussuunnitelma;HEL 2023-012486;7520;https://paatokset.hel.fi/fi/asia/hel-2023-012486
2023-139;3.11.2023;Kornetintien liikenteen ohjaussuunnitelma;HEL 2022-014511;7513;https://paatokset.hel.fi/fi/asia/hel-2022-014511
2023-140;3.11.2023;Tukkutorin lähikatujen liikennejärjestelyt ja liikenteen ohjaussuunnitelma;HEL 2023-012561;7332;https://paatokset.hel.fi/fi/asia/hel-2023-012561
2023-141;3.11.2023;Sorolantien liikenteen ohjaussuunnitelma;HEL 2023-009287;7473;https://paatokset.hel.fi/fi/asia/hel-2023-009287
2023-142;3.11.2023;Pysäköintijärjestelyt Tilhitiellä ja Tilhikujalla;HEL 2022-014509;7372;https://paatokset.hel.fi/fi/asia/hel-2022-014509
2023-143;3.11.2023;Simpukkakujan, Jokikujan ja Pukinmäen rantapuiston pohjoisosan liikenteen ohjaussuunnitelma;HEL 2022-013719;7317;https://paatokset.hel.fi/fi/asia/hel-2022-013719
2023-144;10.11.2023;Sörnäisten rantatien, Lintulahdenkujan, Käenkujan ja Hanasaarenkadun pysäköintijärjestelyt;HEL 2023-012631;7522;https://paatokset.hel.fi/fi/asia/hel-2023-012631
2023-145;10.11.2023;Lauttasaarentien liikenteenohjaussuunnitelma välillä Ruukinlahdentie Katajaharjuntien silta;HEL 2023-009894;7479;https://paatokset.hel.fi/fi/asia/hel-2023-009894
2023-146;10.11.2023;Vallilan toimitila-alueen pysäköintijärjestelyt;HEL 2023-012628;7523;https://paatokset.hel.fi/fi/asia/hel-2023-012628
2023-147;17.11.2023;Ratsastien ja Tilkanvierron ympäristön alueen liikenteenohjaussuunnitelma;HEL 2023-009667;7472;https://paatokset.hel.fi/fi/asia/hel-2023-009667
2023-148;17.11.2023;Asiointipysäköintipaikkojen lisääminen Reginankuja 3 edustalle;HEL 2023-011373;Reginankuja 3;https://paatokset.hel.fi/fi/asia/hel-2023-011373
2023-152;24.11.2023;Käskynhaltijantien ja Mikkolantien risteyksen suojatien parannus;HEL 2023-012212;7510;https://paatokset.hel.fi/fi/asia/hel-2023-012212
2023-151;24.11.2023;Talinrannan liikenteen ohjaussuunnitelma;HEL 2023-012829;7530;https://paatokset.hel.fi/fi/asia/hel-2023-012829
2023-150;24.11.2023;Vanha Viertotie 24 linja-auton pysäkkijärjestelyt;HEL 2023-013918;Vanha Viertotie 24;https://paatokset.hel.fi/fi/asia/hel-2023-013918
2023-153;24.11.2023;Limingantie 42 pysäköintijärjestelyt;HEL 2023-014244;7529;https://paatokset.hel.fi/fi/asia/hel-2023-014244
2023-154;1.12.2023;Pysäköintijärjestelyt Sulkapolku 6-9 yksityisellä pysäköintialueella;HEL 2023-010620;Sulkapolku 6-9;https://paatokset.hel.fi/fi/asia/hel-2023-010620
2023-159;1.12.2023;Pysäköintijärjestelyt Mielikintiellä;HEL 2023-013094;7531;https://paatokset.hel.fi/fi/asia/hel-2023-013094
2023-158;1.12.2023;Pysäköintijärjestelyt Länsirinnetiellä;HEL 2023-013096;7532;https://paatokset.hel.fi/fi/asia/hel-2023-013096
2023-160;1.12.2023;Pysäköintijärjestelyt Otto Brandtin tiellä Aidasmäentien ja Veräjän välillä;HEL 2023-013999;Otto Brandtin tie;https://paatokset.hel.fi/fi/asia/hel-2023-013999
2023-161;1.12.2023;Pysäköintijärjestelyt Halkosuontiellä;HEL 2023-014146;Halkosuontie;https://paatokset.hel.fi/fi/asia/hel-2023-014146
2023-157;1.12.2023;Pysäköintijärjestelyt Salmisaaressa;HEL 2023-014382;7535;https://paatokset.hel.fi/fi/asia/hel-2023-014382
2023-156;1.12.2023;Pysäköintijärjestelyt Ruoholahdessa, Selkämerenkadulla ja Messitytönkadulla;HEL 2023-014388;7533;https://paatokset.hel.fi/fi/asia/hel-2023-014388
2023-155;1.12.2023;Valuraudantien, Valuraudankujan ja Takoraudantien liikenteen ohjaussuunnitelma;HEL 2023-014615;7536;https://paatokset.hel.fi/fi/asia/hel-2023-014615
2023-162;1.12.2023;Liikenteen ohjaussuunnitelma pysäköintialueesta Halkosuontie 88 kohdalla;HEL 2023-014730;7540;https://paatokset.hel.fi/fi/asia/hel-2023-014730
2023-164;8.12.2023;Siltavoudintien ja Vilkenintien risteyksen suojatien parannus;HEL 2023-012211;7509;https://paatokset.hel.fi/fi/asia/hel-2023-012211
2023-165;8.12.2023;Säterintien ja Palsamipolun risteyksessä olevan suojatien poistaminen;HEL 2023-013122;;https://paatokset.hel.fi/fi/asia/hel-2023-013122
2023-163;8.12.2023;Suojatiejärjestelyt Malmin kauppatie 4a kohdalla;HEL 2023-014900;7546;https://paatokset.hel.fi/fi/asia/hel-2023-014900
2023-166;15.12.2023;Talvikunnossapito- ja pysäköintimuutokset Munkkiniemen kaupunginosassa;HEL 2023-014089;7382-1, 7382-2;https://paatokset.hel.fi/fi/asia/hel-2023-014089
2023-167;15.12.2023;Talvikunnossapito- ja pysäköintimuutokset Lauttasaaren kaupunginosassa;HEL 2023-014092;7381-1, 7381-2, 7381-3;https://paatokset.hel.fi/fi/asia/hel-2023-014092
2023-169;15.12.2023;Teinintien ympäristön liikenteen ohjaussuunnitelma;HEL 2023-014147;7547;https://paatokset.hel.fi/fi/asia/hel-2023-014147
2023-168;15.12.2023;Talvikunnossapito- ja pysäköintimuutokset Pitäjänmäen kaupunginosassa;HEL 2023-015418;7554-1, 7554-2;https://paatokset.hel.fi/fi/asia/hel-2023-015418
2024-4;26.1.2024;Nallenrinteen, Ilmasillantien ja Tattariharjuntien keskiosan liikenteen ohjaussuunnitelma;HEL 2023-000548;7380;https://paatokset.hel.fi/fi/asia/hel-2023-000548
2024-2;26.1.2024;Pilkekujan liikenteen ohjaussuunnitelma;HEL 2023-014851;7545;https://paatokset.hel.fi/fi/asia/hel-2023-014851
2024-3;26.1.2024;Myllypurontien liikenteen ohjauksen tarkistaminen välillä Kivensilmänkuja Karistimentie;HEL 2023-015223;7550;https://paatokset.hel.fi/fi/asia/hel-2023-015223
2024-7;2.2.2024;Talvikunnossapito- ja pysäköintimuutokset Laajasalon kaupunginosassa;HEL 2023-012810;7525-1, 7525-2, 7525-3;https://paatokset.hel.fi/fi/asia/hel-2023-012810
2024-6;2.2.2024;Etelä-Hermannin liikenteen ohjaussuunnitelma;HEL 2023-014655;7537;https://paatokset.hel.fi/fi/asia/hel-2023-014655
2024-5;2.2.2024;Hämeentien liikenteen ohjaussuunnitelma välillä Kustaa Vaasan tie - Koskelantie;HEL 2023-015245;7539;https://paatokset.hel.fi/fi/asia/hel-2023-015245
2024-8;2.2.2024;Länsi-Herttoniemen talvikunnossapito- ja pysäköintimuutokset;HEL 2023-015403;7552;https://paatokset.hel.fi/fi/asia/hel-2023-015403
2024-9;2.2.2024;Asukaspysäköintipaikkojen merkitseminen Ratakatu 12 edustalle;HEL 2024-001476;7560;https://paatokset.hel.fi/fi/asia/hel-2024-001476
2024-10;9.2.2024;Kivikonlaidan pohjoisosan liikenteen ohjaussuunnitelma;HEL 2023-009271;7192;https://paatokset.hel.fi/fi/asia/hel-2023-009271
2024-18;9.2.2024;Heinäpellontien, Huhtatien, Kotinummentien, Ruohotien ja Vainiotien pysäköintijärjestelyt;HEL 2023-011112;7562;https://paatokset.hel.fi/fi/asia/hel-2023-011112
2024-17;9.2.2024;Retkeilijänkadun liikennejärjestelyt välillä Karavaanikatu Torisilta;HEL 2023-016163;7542;https://paatokset.hel.fi/fi/asia/hel-2023-016163
2024-12;9.2.2024;Pysäköintijärjestelyjen tarkistaminen Kalastajatorpantie 1-3 edustalla;HEL 2024-000827;7565;https://paatokset.hel.fi/fi/asia/hel-2024-000827
2024-15;9.2.2024;Asukaspysäköintipaikkojen merkitseminen Neitsytpolku 1 edustalle;HEL 2024-001506;Neitsytpolku 1;https://paatokset.hel.fi/fi/asia/hel-2024-001506
2024-14;9.2.2024;Asukaspysäköintipaikkojen merkitseminen Korkeavuorenkatu 6 edustalle;HEL 2024-001507;Korkeavuorenkatu 6;https://paatokset.hel.fi/fi/asia/hel-2024-001507
2024-13;9.2.2024;Vasemmalle kääntymisen kieltäminen Meritullintorilta Aleksanterinkadulle;HEL 2024-001509;Meritullintori 2;https://paatokset.hel.fi/fi/asia/hel-2024-001509
2024-11;9.2.2024;Laajasalontie 49 korotettu suojatie;HEL 2024-001605;7526;https://paatokset.hel.fi/fi/asia/hel-2024-001605
2024-16;9.2.2024;Sähköautojen latauspisteiden tarkistaminen Messeniuksenkatu 3 a edustalla;HEL 2024-001730;7568;https://paatokset.hel.fi/fi/asia/hel-2024-001730
2024-20;16.2.2024;CD-paikkojen merkitseminen Ilmarinkatu 4b vastapäätä;HEL 2024-001717;7570;https://paatokset.hel.fi/fi/asia/hel-2024-001717
2024-19;16.2.2024;Ludviginkadun liikenteen ohjaussuunnitelma;HEL 2024-001759;7571;https://paatokset.hel.fi/fi/asia/hel-2024-001759
2024-23;23.2.2024;Lehtisaaren liikenteen ohjaussuunnitelma;HEL 2023-015246;7551;https://paatokset.hel.fi/fi/asia/hel-2023-015246
2024-22;23.2.2024;CD-paikkojen merkitseminen Pieni Roobertinkatu 3–5:n edustalle;HEL 2024-001716;7575;https://paatokset.hel.fi/fi/asia/hel-2024-001716
2024-21;23.2.2024;Pysäköintijärjestelyt Tervasaarenkannaksen itäosassa;HEL 2024-002469;7580;https://paatokset.hel.fi/fi/asia/hel-2024-002469
2024-26;1.3.2024;Örskintien alueen liikenteen ohjaussuunnitelma;HEL 2024-000646;7563;https://paatokset.hel.fi/fi/asia/hel-2024-000646
2024-25;1.3.2024;Laurinmäenkujan liikenteen ohjaussuunnitelma;HEL 2024-002371;7577;https://paatokset.hel.fi/fi/asia/hel-2024-002371
2024-24;1.3.2024;Klaneettitien pysäkki- ja pysäköintijärjestelyt;HEL 2024-002372;7576;https://paatokset.hel.fi/fi/asia/hel-2024-002372
2024-27;8.3.2024;Verkkosaaren pohjoisosan liikenteen ohjaussuunnitelma;HEL 2023-014717;6909;https://paatokset.hel.fi/fi/asia/hel-2023-014717
2024-28;8.3.2024;Nihdin liikenteen ohjaussuunnitelma;HEL 2023-014721;7538;https://paatokset.hel.fi/fi/asia/hel-2023-014721
2024-29;15.3.2024;Ajokieltojärjestelyjen selkeyttäminen raitiotiellä Pirkkolantien ja Nuijamiestentien risteyksessä;HEL 2024-002492;7578;https://paatokset.hel.fi/fi/asia/hel-2024-002492
2024-30;15.3.2024;Ajokieltojärjestelyjen selkeyttäminen raitiotiellä Viilarintien ja Varikkotien risteyksessä;HEL 2024-002566;7582;https://paatokset.hel.fi/fi/asia/hel-2024-002566
